Trajetoria,Expert,Clustering,Normal,Conf,Date,Time
traj3,claudio,none - density plots,normal,low,22/02/2023,20:29:04
traj2,claudio,DBSCAN lat-long,normal,high,22/02/2023,20:29:21
21,claudio,none - density plots,normal,very low,26/02/2023,16:54:58
8,claudio,none - density plots,normal,very low,12/03/2023,22:19:17
1,claudio,2,normal,very low,09/04/2023,09:49:53
1,claudio,2,anomalous,very high,09/04/2023,09:50:28
4,claudio,2,normal,very low,09/04/2023,23:18:35
1,claudio,2,normal,very low,21/05/2023,11:13:50
1,claudio,2,anomalous,low,22/05/2023,22:55:51
1,claudio,2,anomalous,low,22/05/2023,22:57:03
1,claudio,2,anomalous,medium,22/05/2023,23:56:17
4,claudio,2,normal,high,22/05/2023,23:56:37
7,claudio,2,anomalous,medium,23/05/2023,00:11:55
28,claudio,2,normal,very low,23/05/2023,00:44:22
1,claudio,7,normal,very low,30/05/2023,01:28:51
1,claudio,4,normal,very low,13/07/2023,22:53:15
1,claudio,4,normal,very low,13/07/2023,23:25:55
